"no";"dong";"AptName";"code";"buildYear";"jibun";"lat";"lng";"img"
1;"사직동";"광화문풍림스페이스본(101동~105동)";"11110";"2008";"9";"37.5743822";"126.9688505";""
2;"사직동";"광화문풍림스페이스본(106동)";"11110";"2008";"9-1";"37.57348";"126.967792";""
3;"내수동";"경희궁의아침4단지";"11110";"2004";"73";"37.5722444";"126.9722071";""
4;"견지동";"대성스카이렉스";"11110";"2008";"110";"37.5724163";"126.9824791";""
5;"효제동";"포레스트힐시티";"11110";"2017";"65-2";"37.5740221";"127.0018054";""
6;"명륜1가";"송림아마레스아파트";"11110";"2003";"2-12";"37.59062120000001";"126.9976818";""
7;"명륜2가";"아남1";"11110";"1995";"4";"37.5855698";"126.9994671";""
8;"명륜2가";"아남3";"11110";"1999";"237";"37.5855655";"127.0002337";""
9;"명륜3가";"한빛";"11110";"1999";"1-30";"37.5893352";"126.9950098";""
10;"창신동";"동대문";"11110";"1966";"328-17";"37.5722279";"127.0151863";""
11;"숭인동";"삼전솔하임2차";"11110";"2012";"296-19";"37.5724383";"127.0167548";""
12;"숭인동";"주건축물제1동";"11110";"2013";"1392";"37.5736666";"127.0226401";""
13;"숭인동";"숭인한양LEEPS";"11110";"2014";"1421-2";"37.57357390000001";"127.0223266";""
14;"숭인동";"종로동광모닝스카이";"11110";"2013";"1421-1";"37.5734074";"127.0223446";""
15;"평창동";"에지앙빌";"11110";"2004";"179-5";"37.6069685";"126.9675741";""
16;"평창동";"롯데낙천대";"11110";"2001";"72";"37.6091837";"126.9756868";""
17;"평창동";"삼성";"11110";"1998";"596";"37.6109493";"126.9786561";""
18;"평창동";"벽산블루밍평창힐스";"11110";"2004";"45";"37.6080961";"126.9737175";""
19;"익선동";"현대뜨레비앙";"11110";"2003";"55";"37.5750883";"126.9900786";""
20;"연건동";"이화에수풀";"11110";"2014";"195-10";"37.57539370000001";"127.0018312";""
21;"명륜1가";"아마레스";"11110";"2002";"45-5";"37.5869019";"126.9988775";""
22;"창신동";"MID그린(3동)";"11110";"2002";"601-2";"37.5779087";"127.0099886";""
23;"창신동";"성용";"11110";"1994";"640-252";"37.57500479999999";"127.0094655";""
24;"창신동";"창신쌍용2";"11110";"1993";"703";"37.5804209";"127.0117238";""
25;"숭인동";"삼전솔하임4차";"11110";"2014";"318-2";"37.5713672";"127.0167802";""
26;"평동";"경희궁자이(3단지)";"11110";"2017";"233";"35.12477";"126.7602498";""
27;"홍파동";"경희궁자이(2단지)";"11110";"2017";"199";"37.5709038";"126.9639262";""
28;"명륜2가";"아남2";"11110";"1996";"236";"37.5861655";"126.9987424";""
29;"창신동";"창신쌍용1";"11110";"1992";"702";"37.580401";"127.0139816";""
30;"숭인동";"종로중흥S클래스";"11110";"2013";"202-3";"37.5736023";"127.0217228";""
31;"숭인동";"종로유케이201";"11110";"2013";"201-11";"37.5738414";"127.0213337";""
32;"평창동";"롯데캐슬 로잔";"11110";"2009";"108";"37.6098407";"126.9774707";""
33;"평창동";"갑을";"11110";"1997";"595";"37.6046031";"126.9637494";""
34;"무악동";"무악다온채";"11110";"2011";"66-1";"37.5761242";"126.9579142";""
35;"내수동";"경희궁의아침2단지";"11110";"2004";"71";"37.57371029999999";"126.9712666";""
36;"내수동";"경희궁의아침3단지";"11110";"2004";"72";"37.5732644";"126.9719961";""
37;"인의동";"효성쥬얼리시티";"11110";"2006";"48-2";"37.5711959";"126.9986621";""
38;"동숭동";"동성아파트(1동)";"11110";"1999";"4-161";"37.5833366";"127.0062404";""
39;"창신동";"MID그린(2동)";"11110";"2002";"601-1";"37.5778969";"127.0097623";""
40;"창신동";"MID그린(6동)";"11110";"2002";"601-7";"37.5775766";"127.0097179";""
41;"창신동";"MID그린(4동)";"11110";"2002";"601-5";"37.5777296";"127.0100114";""
42;"창신동";"두산";"11110";"1999";"232";"37.5741155";"127.0143203";""
43;"숭인동";"종로청계힐스테이트";"11110";"2009";"766";"37.5758067";"127.0212457";""
44;"숭인동";"숭인상가";"11110";"1979";"204-11";"37.5721671";"127.0206594";""
45;"교북동";"동아";"11110";"1995";"101";"37.5714018";"126.9620904";""
46;"구기동";"렉스팰리스";"11110";"2005";"95-1";"37.6068855";"126.9573119";""
47;"무악동";"인왕산아이파크";"11110";"2008";"60";"37.5767946";"126.9575007";""
48;"청운동";"청운현대";"11110";"2000";"56-45";"37.5861631";"126.9675048";""
49;"누상동";"청호그린빌";"11110";"1999";"40";"37.5806466";"126.9663277";""
50;"내수동";"세종로대우";"11110";"1994";"167";"37.5726979";"126.973265";""
51;"명륜3가";"(1-102)";"11110";"1997";"1-102";"37.5894309";"126.9952474";""
52;"창신동";"일우";"11110";"2002";"602";"37.5772952";"127.0096854";""
53;"창신동";"미니";"11110";"1995";"638-36";"37.5757009";"127.0095299";""
54;"창신동";"MID그린(8동)";"11110";"2002";"602-1";"37.5772698";"127.0098771";""
55;"숭인동";"종로센트레빌";"11110";"2008";"2-1";"37.5809193";"127.01605";""
56;"숭인동";"롯데캐슬천지인";"11110";"2004";"76";"37.5738039";"127.0161663";""
57;"평창동";"일성빌라트";"11110";"1996";"145-5";"37.60901";"126.9728101";""
58;"무악동";"현대";"11110";"2000";"82";"37.5752089";"126.9605874";""
59;"옥인동";"세종아파트";"11110";"2005";"56";"37.5820758";"126.9676881";""
60;"필운동";"두레엘리시안";"11110";"2007";"174-1";"37.57814500000001";"126.9696919";""
61;"내수동";"경희궁 파크팰리스";"11110";"2003";"95";"37.5741439";"126.9705655";""
62;"숭인동";"종로아인스빌";"11110";"2013";"1392-1";"37.5735298";"127.0227608";""
63;"숭인동";"하림빌라트";"11110";"1998";"473";"37.5784933";"127.0213158";""
64;"행촌동";"대성맨션";"11110";"1971";"41-1";"37.5726899";"126.9625616";""
